attack_cat_name,attack_cat_num,attack_type_name,attack_type_num,count
Benign,0,Benign,0,1098195
DDoS,2,DDoS-ACK_Fragmentation,4,37000
DDoS,2,DDoS-ICMP_Flood,6,37000
DDoS,2,DDoS-ICMP_Fragmentation,7,37000
DDoS,2,DDoS-PSHACK_Flood,8,37000
DDoS,2,DDoS-RSTFINFlood,9,37000
DDoS,2,DDoS-SYN_Flood,10,37000
DDoS,2,DDoS-SynonymousIP_Flood,12,37000
DDoS,2,DDoS-TCP_Flood,13,37000
DDoS,2,DDoS-UDP_Flood,14,37000
DDoS,2,DDoS-UDP_Fragmentation,15,37000
Recon,5,Recon-PortScan,29,36000
Recon,5,Recon-HostDiscovery,26,36000
Recon,5,Recon-OSScan,27,36000
Spoofing,6,DNS_Spoofing,16,36000
Recon,5,VulnerabilityScan,32,36000
Mirai,4,Mirai-greip_flood,24,36000
Spoofing,6,MITM-ArpSpoofing,22,36000
Mirai,4,Mirai-udpplain,25,36000
DoS,3,DoS-UDP_Flood,21,36000
Mirai,4,Mirai-greeth_flood,23,36000
DoS,3,DoS-TCP_Flood,20,36000
DoS,3,DoS-SYN_Flood,19,36000
DoS,3,DoS-HTTP_Flood,18,36000
DDoS,2,DDoS-HTTP_Flood,5,28790
DDoS,2,DDoS-SlowLoris,11,23426
Brute Force,1,DictionaryBruteForce,17,13064
Web-based,7,BrowserHijacking,2,5859
Web-based,7,CommandInjection,3,5409
Web-based,7,SqlInjection,30,5245
Web-based,7,XSS,33,3846
Web-based,7,Backdoor_Malware,1,3218
Recon,5,Recon-PingSweep,28,2262
Web-based,7,Uploading_Attack,31,1252
